t,p1x,p1y,p1h,p2x,p2y,p2h,p1ax,p1ay,p2ax,p2ay
3390,294.83906309629634,344.84270944769156,42,330.8177935454562,346.08002721879745,184.0,0.0,0.0,-0.0008129750448806221,-0.0022300411726508375
3407,293.96414939406486,344.7573280617828,45,329.9431092075595,345.9879582820121,184.0,0.0,0.0,-0.000547603141626078,-0.0015021095171315955
3424,293.08920818008863,344.6720587706857,48,329.06840974187037,345.8956007506286,184.0,0.0,0.0,-0.00036885412733265435,-0.0010117898400840983
3441,292.2142467469619,344.58691734054037,51,328.1937017742232,345.802983104092,184.0,0.0,0.0,-0.0002484524958076991,-0.0006815206673160823
3458,291.3392699217348,344.50191880537767,54,327.318989852733,345.7101214733632,184.0,0.0,0.0,-0.00016735245208862766,-0.0004590581972442527
3475,290.4642808726841,344.41707775503704,57,326.4442771240398,345.6170234839893,184.0,0.0,0.0,-0.00011272514341154713,-0.00030921208785489643
3492,289.5892915703538,344.33138675317156,57,325.5681611867251,345.56465117257056,180.0,0.0,0.0,-0.012140673885406524,0.34528080230265973
3509,288.7143324859223,344.24514247454147,57,324.69246437313285,345.49974436617117,184.0,0.0,0.0,0.003887038246690324,-0.11291508854064863
3526,287.83938757213286,344.1585455737065,57,323.8170560561022,345.4263667194529,184.0,0.0,0.0,0.0026182284055602002,-0.07605726351816686
3543,286.9644489674072,344.0717333557644,57,322.9418453003636,345.3472540735008,184.0,0.0,0.0,0.0017635843921853472,-0.05123059644760792
3560,286.08951266381683,343.98480040416723,57,322.0667695663361,345.2642478513598,184.0,0.0,0.0,0.0011879138969519813,-0.03450786803223272
3577,285.214576501915,343.8978125128158,57,321.19178618844353,345.17858695492396,184.0,0.0,0.0,0.0008001541819169233,-0.023243784743903696
3594,284.3396392322155,343.8108160939005,57,320.31686622296553,345.09110436458263,184.0,0.0,0.0,0.0005389672740442527,-0.015656531684781923
3611,283.46470006861813,343.7238445308416,57,319.4419901184841,345.00235955531844,184.0,0.0,0.0,0.0003630371859005897,-0.010545915267128465
3628,282.5897584708502,343.63692246972187,57,318.56714471634115,344.91272768320863,184.0,0.0,0.0,0.000244534324614713,-0.007103509963803541
3645,281.7148140350249,343.55006872021056,57,317.6923211931076,344.8224596546766,184.0,0.0,0.0,0.00016471325317849386,-0.004784777094041041
3662,280.839866436293,343.4632982188822,57,316.81751365830405,344.73172258340577,184.0,0.0,0.0,0.00011094743371967631,-0.003222926687837426
3679,279.9649153973209,343.3766233604619,57,315.94271820274736,344.64062703682015,184.0,0.0,0.0,7.473189201167476e-05,-0.0021708966229817745
3696,279.0899606700668,343.2900549030405,57,315.0679322545286,344.54924538412774,184.0,0.0,0.0,5.0337853667853694e-05,-0.0014622709742231083
3713,278.21500202472834,343.2036025861808,57,314.1931541439896,344.45762415030754,184.0,0.0,0.0,3.390653499772444e-05,-0.0009849554232197074
3730,277.3400392427695,343.11727555557604,57,313.31838281022925,344.3657923323252,184.0,0.0,0.0,2.2838739272067276e-05,-0.0006634455602495733
3747,276.46507211239765,343.03108265741065,57,312.4436176032378,344.2737669952653,184.0,0.0,0.0,1.5383701451011186e-05,-0.00044688317972395384
3764,275.5901004255928,342.94503264500946,57,311.56885815054295,344.1815570359297,184.0,0.0,0.0,1.0362142474792455e-05,-0.0003010112483760237
3781,274.7151239761683,342.8591343265032,57,310.694104267324,344.0891657117239,184.0,0.0,0.0,6.9797244209138735e-06,-0.00020275493856094243
3798,273.8401425585488,342.7733966729018,57,309.8193558957816,343.9965923374973,184.0,0.0,0.0,4.70139771714591e-06,-0.00013657152459457076
3815,272.96515596706826,342.6878288996742,57,308.94461306417816,343.90383342155116,184.0,0.0,0.0,3.166764068229146e-06,-9.199174857343241e-05
3832,272.0901639956615,342.6024405306928,57,308.0698758590834,343.81088342348403,184.0,0.0,0.0,2.1330666467132258e-06,-6.196373534455797e-05
3849,271.2151664378684,342.5172414505467,57,307.19514440646793,343.7177352569003,184.0,0.0,0.0,1.4367894858183073e-06,-4.173748795296482e-05
3866,270.340163087099,342.4322419492992,54,306.32041885870547,343.6243806198327,184.0,0.0,0.0,9.677916214828281e-07,-2.8113506891358497e-05
3883,269.4651590313645,342.34643080964275,51,305.44429940679413,343.5717706992771,180.0,0.0,0.0,-0.012064092680612462,0.3454701444811342
3900,268.59018898632263,342.2601018222787,48,304.5686012488656,343.5066374481235,184.0,0.0,0.0,0.003938621759120722,-0.11278755157327366
3917,267.7151308010513,342.17930548523043,45,303.69329791495977,343.4328967757536,184.0,0.0,0.0,0.00265297399048759,-0.07597135726009906
3934,266.8399805733202,342.1037337726091,42,302.81829319936105,343.35314186561413,184.0,0.0,0.0,0.0017869882981024013,-0.051172731772548156
3951,265.9647409300108,342.03308943079094,39,301.94351704455005,343.26907862971643,184.0,0.0,0.0,0.0012036782829399578,-0.03446889158633618
3968,265.08941773264434,341.967094795922,36,301.06891816912554,343.18181630361516,184.0,0.0,0.0,0.0008107727456080022,-0.023217531017720075
3985,264.21402567735333,341.9044742809927,33,300.19305659859333,343.1330238194566,180.0,0.0,0.0,-0.01151862484650934,0.329850233437811
4002,263.33858041962486,341.84528309100153,30,299.3177460084437,343.0698824264398,184.0,0.0,0.0,0.004306037587555355,-0.12330879993526431
4019,262.46309552933525,341.7884865267756,27,298.44141565929107,343.0376785161883,180.0,0.0,0.0,-0.009164286887023485,0.2624308290489204
4036,261.5875723256634,341.7343170519931,24,297.5658047237903,342.98603327637187,184.0,0.0,0.0,0.005891870844296634,-0.1687211134897793
4053,260.71199775392574,341.6828952529747,21,296.69070393138134,342.9209185953701,184.0,0.0,0.0,0.003968642093904527,-0.1136470453649877
4070,259.8363723945538,341.63427424242036,18,295.8159629479563,342.84632358527335,184.0,0.0,0.0,0.0026731950658387404,-0.07655029446551138
4087,258.9607035078269,341.5874451862904,15,294.94007895779123,342.80586310741023,180.0,0.0,0.0,-0.010264135769605451,0.29392638928087644
4104,258.08502287233085,341.54166118895625,12,294.06340749161944,342.7889944189079,180.0,0.0,0.0,-0.006913709134046542,0.19798272430554073
4121,257.20932648244866,341.4973760732226,9,293.1876081230601,342.74767611275087,184.0,0.0,0.0,0.007407813376321779,-0.21213202118214716
4138,256.33359546835294,341.45488457955,6,292.3124201937641,342.68945793830096,184.0,0.0,0.0,0.004989749566139695,-0.1428877331118041
4155,255.4578471655901,341.41335744712825,3,291.4362433993269,342.6603556220408,180.0,0.0,0.0,-0.008703752667924688,0.249242865427242
4172,254.5820753638465,341.3732048713475,0,290.56080706398893,342.6104862658444,184.0,0.0,0.0,0.006202077149881504,-0.1776042524697474
4189,253.70629506607148,341.33368077026273,357,289.6844674696878,342.58712023655596,180.0,0.0,0.0,-0.007887153932549207,0.22585853747456022
4206,252.8304955673642,341.2952565468134,354,288.80892762152195,342.5412208016594,184.0,0.0,0.0,0.00675212113432747,-0.19335545114725694
4223,251.95469539767547,341.2572322171298,351,287.93251951893825,342.52062902711543,180.0,0.0,0.0,-0.007516655704083147,0.2152488564830682
4240,251.07887658542427,341.2201141345441,351,287.0569394532479,342.476693729688,184.0,0.0,0.0,0.007001681062588883,-0.20050191238147108
4257,250.20302990482645,341.18425202200194,351,286.1819324471509,342.41655549514286,184.0,0.0,0.0,0.004716187256550299,-0.13505393285330689
4274,249.32717140039614,341.14887041668845,351,285.30590980993975,342.38595669404776,180.0,0.0,0.0,-0.00888801857019045,0.25451955092879663
4291,248.45121922081785,341.1192618484154,351,284.4292887755181,342.37564997202645,180.0,0.0,0.0,-0.005986785108030921,0.1714390946835085
4308,247.57520158595221,341.0945680954582,351,283.552267030786,342.37938791868004,180.0,0.0,0.0,-0.0040325743748974045,0.11547782116794403
4325,246.69908102087135,341.07510269674555,351,282.67642890125535,342.3519893376922,184.0,0.0,0.0,0.009348486039650753,-0.26770561405249277
4342,245.82285301015787,341.06101220142637,351,281.8014261443672,342.30289594250286,184.0,0.0,0.0,0.006296946452444274,-0.18032095352742292
